,1985,1995,2005,2015,2018
649,113.0,97.0,58.0,98.0,162.0
650,106.0,76.0,63.0,122.0,137.0
941,,,0.0,0.0,571.0
1224,,,,,
651,153.0,98.0,25.0,31.0,75.0
1269,,,,,
652,80.0,150.0,115.0,52.0,55.0
1103,69.0,145.0,78.0,8.0,44.0
1073,,,,7.0,41.0
653,89.0,83.0,67.0,112.0,79.0
948,161.0,123.0,175.0,98.0,207.0
1259,,,,,
654,92.0,123.0,49.0,4.0,18.0
655,166.0,87.0,34.0,4.0,80.0
656,96.0,120.0,59.0,114.0,161.0
950,129.0,132.0,163.0,119.0,241.0
1053,,,6.0,0.0,138.0
657,109.0,84.0,65.0,112.0,160.0
658,,131.0,71.0,100.0,97.0
1138,,,,,
903,,82.0,62.0,117.0,184.0
1031,,,100.0,80.0,89.0
660,125.0,73.0,45.0,2.0,38.0
661,,90.0,101.0,116.0,120.0
662,110.0,92.0,57.0,106.0,123.0
663,97.0,79.0,99.0,119.0,98.0
664,111.0,107.0,65.0,110.0,163.0
665,51.0,122.0,144.0,120.0,12.0
666,218.0,70.0,30.0,0.0,110.0
667,,81.0,70.0,97.0,146.0
668,89.0,89.0,94.0,87.0,104.0
669,,126.0,155.0,69.0,73.0
920,,,41.0,98.0,108.0
670,96.0,106.0,54.0,115.0,154.0
1127,,,,,
1146,,,,,
671,111.0,66.0,65.0,5.0,50.0
672,138.0,97.0,17.0,18.0,105.0
673,99.0,102.0,121.0,74.0,86.0
1008,,,77.0,126.0,109.0
675,,121.0,186.0,68.0,42.0
676,54.0,146.0,72.0,105.0,87.0
677,94.0,99.0,104.0,39.0,27.0
1170,,,,,
1148,,,,,
679,107.0,112.0,39.0,38.0,106.0
680,105.0,124.0,116.0,81.0,77.0
681,97.0,91.0,37.0,58.0,109.0
682,115.0,122.0,194.0,55.0,44.0
683,90.0,122.0,76.0,119.0,177.0
684,144.0,102.0,99.0,82.0,70.0
971,,,99.0,58.0,50.0
686,120.0,89.0,107.0,45.0,57.0
687,170.0,78.0,17.0,0.0,54.0
1104,,,,,
930,120.0,108.0,55.0,123.0,166.0
688,94.0,89.0,87.0,99.0,100.0
689,94.0,110.0,95.0,102.0,101.0
690,151.0,79.0,49.0,106.0,135.0
691,106.0,91.0,97.0,95.0,69.0
1142,,,,,
692,94.0,100.0,32.0,44.0,108.0
693,,,,,
694,112.0,107.0,123.0,99.0,72.0
695,,115.0,75.0,99.0,80.0
1263,,,,,
696,112.0,113.0,79.0,105.0,174.0
1133,,,,,
697,81.0,126.0,151.0,24.0,30.0
1244,,,,,
698,108.0,97.0,83.0,83.0,74.0
932,111.0,,48.0,45.0,128.0
699,94.0,148.0,44.0,63.0,90.0
700,110.0,104.0,56.0,62.0,194.0
701,106.0,95.0,126.0,105.0,79.0
987,,,43.0,0.0,22.0
702,145.0,98.0,13.0,45.0,134.0
703,73.0,94.0,108.0,120.0,176.0
704,,0.0,80.0,0.0,48.0
705,232.0,140.0,154.0,15.0,35.0
706,553.0,0.0,0.0,20.0,80.0
707,,118.0,24.0,32.0,98.0
708,156.0,131.0,156.0,73.0,17.0
709,,99.0,81.0,92.0,69.0
1081,,,,28.0,83.0
710,,,,,
1110,,,,,
711,104.0,153.0,35.0,79.0,120.0
1032,,,75.0,106.0,102.0
712,138.0,85.0,12.0,2.0,77.0
713,129.0,120.0,132.0,90.0,69.0
714,138.0,101.0,109.0,73.0,54.0
715,97.0,91.0,128.0,110.0,32.0
1225,,,,,
1217,,,,,
716,101.0,81.0,66.0,83.0,75.0
911,,,8.0,0.0,112.0
2029,,,0.0,57.0,71.0
933,,,87.0,70.0,21.0
1254,,,,,
717,,100.0,98.0,89.0,89.0
718,99.0,73.0,97.0,74.0,91.0
